/media/jon/Elements/cukegenome/SRR1693447/GCA_002754855.1_ASM275485v1_genomic.fasta /media/jon/Elements/cukegenome/SRR1693447/parv-8.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
640726	642081	3530	4874	1356	1345	88.75	1014108	4874	0.13	27.60	MRZV01000026.1	32024
972535	973654	93	1231	1120	1139	84.79	1777397	1231	0.06	92.53	MRZV01000028.1	14590
1562908	1564368	1182	2649	1461	1468	93.77	1777397	2740	0.08	53.58	MRZV01000028.1	32033
1527211	1528390	1210	28	1180	1183	92.14	1702207	1210	0.07	97.77	MRZV01000030.1	13161
958947	960194	1254	1	1248	1254	98.33	974038	3890	0.13	32.24	MRZV01000038.1	32034
86060	87088	1	1032	1029	1032	92.95	932908	2486	0.11	41.51	MRZV01000052.1	32029
422950	424164	1220	1	1215	1220	96.56	817465	2285	0.15	53.39	MRZV01000082.1	32028
345405	347121	1685	2	1717	1684	94.21	792696	1685	0.22	99.94	MRZV01000089.1	21968
515719	516956	1242	1	1238	1242	98.47	787331	1242	0.16	100.00	MRZV01000090.1	24292
244734	246754	2035	1	2021	2035	97.84	934091	2035	0.22	100.00	MRZV01000095.1	15700
797418	798635	1245	1	1218	1245	88.43	970122	3447	0.13	36.12	MRZV01000115.1	32032
1234682	1237526	3930	1100	2845	2831	97.45	1272897	3930	0.22	72.04	MRZV01000129.1	32031
214785	216009	1231	1	1225	1231	97.65	679180	1231	0.18	100.00	MRZV01000142.1	11205
581699	583200	46	1584	1502	1539	90.44	646296	1593	0.23	96.61	MRZV01000161.1	1610
633165	634608	1521	34	1444	1488	91.81	692265	1593	0.21	93.41	MRZV01000163.1	1610
81712	82762	1049	1	1051	1049	97.73	627547	3930	0.17	26.69	MRZV01000173.1	32031
83768	84789	1	1031	1022	1031	98.93	627547	1031	0.16	100.00	MRZV01000173.1	31992
558809	559851	1053	1	1043	1053	97.35	627547	1053	0.17	100.00	MRZV01000173.1	32006
13689	15449	1	1816	1761	1816	93.77	609309	1816	0.29	100.00	MRZV01000191.1	10403
21531	23233	1702	1	1703	1702	94.42	609309	1769	0.28	96.21	MRZV01000191.1	31946
820504	821581	1124	49	1078	1076	97.50	1451205	1124	0.07	95.73	MRZV01000200.1	23940
39365	40621	1	1257	1257	1257	97.93	657137	1257	0.19	100.00	MRZV01000236.1	28918
5162	6176	1579	2601	1015	1023	95.24	554329	2603	0.18	39.30	MRZV01000260.1	32025
373786	375021	1	1236	1236	1236	96.55	553150	1236	0.22	100.00	MRZV01000261.1	4524
845864	846874	1028	1	1011	1028	94.27	1219127	1028	0.08	100.00	MRZV01000280.1	31969
714067	715200	21	1148	1134	1128	90.00	723678	1148	0.16	98.26	MRZV01000282.1	31979
288764	289831	1075	1	1068	1075	94.66	528155	1075	0.20	100.00	MRZV01000294.1	12072
443225	445052	19	1793	1828	1775	86.65	648354	1793	0.28	99.00	MRZV01000300.1	31591
16955	18003	1	1049	1049	1049	97.82	516003	3930	0.20	26.69	MRZV01000310.1	32031
473955	475177	1224	1	1223	1224	97.24	513730	1236	0.24	99.03	MRZV01000313.1	4524
337637	339281	1655	1	1645	1655	97.71	502499	1655	0.33	100.00	MRZV01000329.1	16767
920907	921913	2572	1547	1007	1026	95.71	954036	2782	0.11	36.88	MRZV01000349.1	32026
558647	560036	1	1388	1390	1388	98.92	850934	1388	0.16	100.00	MRZV01000383.1	31966
295893	298464	2558	1	2572	2558	92.87	458265	5422	0.56	47.18	MRZV01000386.1	32015
378608	380482	2091	213	1875	1879	97.35	588713	2091	0.32	89.86	MRZV01000397.1	1784
252512	253693	67	1252	1182	1186	94.81	807371	4874	0.15	24.33	MRZV01000420.1	32024
205242	206631	1086	2482	1390	1397	93.87	794116	2486	0.18	56.19	MRZV01000444.1	32029
73867	74976	1123	4	1110	1120	96.16	430334	1123	0.26	99.73	MRZV01000445.1	31982
296099	297308	1	1205	1210	1205	86.68	397235	1210	0.30	99.59	MRZV01000507.1	17053
114868	115882	1014	1	1015	1014	93.46	680116	1014	0.15	100.00	MRZV01000537.1	31991
117387	118474	21	1115	1088	1095	92.54	680116	1148	0.16	95.38	MRZV01000537.1	31979
422477	424209	3404	1672	1733	1733	97.99	736503	3404	0.24	50.91	MRZV01000539.1	32027
187525	188686	1172	7	1162	1166	95.48	321224	1777	0.36	65.62	MRZV01000696.1	32019
237276	238770	1769	256	1495	1514	93.47	318233	1769	0.47	85.59	MRZV01000705.1	31946
604794	606043	1261	1	1250	1261	95.57	942704	1296	0.13	97.30	MRZV01000736.1	5059
263419	264660	1238	7	1242	1232	93.91	631148	4874	0.20	25.28	MRZV01000741.1	32024
97831	99172	1	1348	1342	1348	96.97	504038	1348	0.27	100.00	MRZV01000747.1	24126
255124	256364	1	1252	1241	1252	97.84	303208	1252	0.41	100.00	MRZV01000749.1	31260
229385	230571	342	1555	1187	1214	86.27	293393	1555	0.40	78.07	MRZV01000781.1	16734
274972	276105	1286	146	1134	1141	95.11	291777	1286	0.39	88.72	MRZV01000787.1	17819
316070	317460	1777	388	1391	1390	97.05	463924	1777	0.30	78.22	MRZV01000886.1	32019
216717	218149	3	1441	1433	1439	98.47	261645	1441	0.55	99.86	MRZV01000895.1	32017
172984	175196	2	2225	2213	2224	97.39	252513	5355	0.88	41.53	MRZV01000932.1	32023
175189	177170	2976	4952	1982	1977	96.77	252513	5355	0.78	36.92	MRZV01000932.1	32023
179757	181628	1878	1	1872	1878	98.51	251094	1878	0.75	100.00	MRZV01000940.1	11481
189144	190670	1552	11	1527	1542	85.59	247804	1555	0.62	99.16	MRZV01000954.1	16734
273470	274501	1033	1	1032	1033	98.26	303433	1033	0.34	100.00	MRZV01001077.1	27799
275441	277392	1	1955	1952	1955	98.21	303433	1955	0.64	100.00	MRZV01001077.1	13214
149847	151496	1	1651	1650	1651	98.36	218916	1651	0.75	100.00	MRZV01001079.1	28461
157345	158478	146	1283	1134	1138	97.89	218916	1286	0.52	88.49	MRZV01001079.1	17819
8783	10697	1888	1	1915	1888	97.35	196950	1888	0.97	100.00	MRZV01001181.1	31953
48853	49978	2782	1651	1126	1132	97.88	187477	2782	0.60	40.69	MRZV01001241.1	32026
104227	106591	2367	1	2365	2367	98.27	184682	2367	1.28	100.00	MRZV01001257.1	18662
48718	49770	3548	2487	1053	1062	94.40	183915	3890	0.57	27.30	MRZV01001261.1	32034
176565	178798	146	2375	2234	2230	95.25	183915	2980	1.21	74.83	MRZV01001261.1	32022
45762	47047	2600	3890	1286	1291	98.15	321387	3890	0.40	33.19	MRZV01001396.1	32034
55298	56391	1109	1	1094	1109	96.95	210489	2603	0.52	42.60	MRZV01001469.1	32025
17991	19074	1	1087	1084	1087	98.53	219442	1087	0.49	100.00	MRZV01001476.1	26461
25434	26613	1296	128	1180	1169	91.73	138007	1296	0.86	90.20	MRZV01001554.1	5059
113111	114366	1268	1	1256	1268	98.74	137459	2782	0.91	45.58	MRZV01001563.1	32026
55934	57751	1813	1	1818	1813	97.26	281468	1816	0.65	99.83	MRZV01001793.1	10403
70588	72012	1409	1	1425	1409	96.56	112268	1709	1.27	82.45	MRZV01001795.1	32014
94191	95314	1	1126	1124	1126	92.98	100813	3447	1.11	32.67	MRZV01001903.1	32032
83983	85446	2436	968	1464	1469	97.83	87585	3890	1.67	37.76	MRZV01002027.1	32034
4007	5552	3	1523	1546	1521	90.38	82098	2603	1.88	58.43	MRZV01002107.1	32025
31318	32803	1496	4	1486	1493	98.06	67037	2782	2.22	53.67	MRZV01002349.1	32026
48214	49471	1	1275	1258	1275	94.54	61442	1275	2.05	100.00	MRZV01002453.1	27
15168	16302	1	1128	1135	1128	92.26	55356	1128	2.05	100.00	MRZV01002592.1	9568
16160	17205	1250	2278	1046	1029	93.80	52339	4874	2.00	21.11	MRZV01002671.1	32024
38329	39860	1534	1	1532	1534	99.67	50427	3404	3.04	45.06	MRZV01002720.1	32027
